fuel_type,mpg_city,mpg_highway,co2
gasoline,19,25,423.1904762
gasoline,9,14,807.9090909
gasoline,23,33,329.1481481
gasoline,10,12,807.9090909
gasoline,17,23,467.7368421
gasoline,21,24,403.9545455
gasoline,22,29,355.48
gasoline,23,26,370.2916667
gasoline,23,31,341.8076923
gasoline,23,30,355.48
gasoline,23,30,341.8076923
gasoline,18,26,423.1904762
gasoline,21,29,370.2916667
gasoline,18,26,423.1904762
gasoline,12,15,683.6153846
gasoline,20,28,386.3913043
gasoline,18,23,444.35
gasoline,19,26,423.1904762
gasoline,17,22,467.7368421
gasoline,17,24,467.7368421
gasoline,14,20,555.4375
gasoline,14,20,555.4375
gasoline,11,17,683.6153846
gasoline,21,28,386.3913043
gasoline,17,24,467.7368421
gasoline,11,17,683.6153846
gasoline,18,26,423.1904762
gasoline,17,25,444.35
gasoline,17,27,444.35
gasoline,17,26,444.35
gasoline,17,25,444.35
gasoline,15,23,493.7222222
gasoline,15,23,522.7647059
gasoline,15,23,493.7222222
gasoline,15,23,522.7647059
gasoline,18,26,423.1904762
gasoline,11,17,683.6153846
gasoline,17,25,444.35
gasoline,17,27,444.35
gasoline,15,24,493.7222222
gasoline,15,24,493.7222222
gasoline,18,24,444.35
gasoline,13,19,592.4666667
gasoline,13,19,592.4666667
gasoline,17,23,467.7368421
gasoline,17,24,467.7368421
gasoline,18,24,444.35
gasoline,9,11,888.7
gasoline,18,24,423.1904762
gasoline,18,26,423.1904762
gasoline,18,24,444.35
gasoline,19,24,423.1904762
gasoline,21,26,386.3913043
gasoline,22,29,355.48
gasoline,18,24,444.35
gasoline,18,26,423.1904762
gasoline,18,27,423.1904762
gasoline,16,24,467.7368421
gasoline,10,11,888.7
gasoline,17,25,444.35
gasoline,17,24,444.35
gasoline,15,21,522.7647059
gasoline,15,22,493.7222222
gasoline,15,22,493.7222222
gasoline,18,25,444.35
gasoline,18,24,444.35
gasoline,16,22,493.7222222
gasoline,15,20,522.7647059
gasoline,14,18,592.4666667
gasoline,10,11,888.7
gasoline,16,22,493.7222222
gasoline,17,24,467.7368421
gasoline,15,22,493.7222222
gasoline,18,27,423.1904762
gasoline,17,25,444.35
gasoline,21,28,386.3913043
gasoline,23,31,341.8076923
gasoline,17,23,467.7368421
gasoline,18,24,444.35
gasoline,17,22,467.7368421
gasoline,9,10,888.7
gasoline,21,28,386.3913043
gasoline,17,24,467.7368421
gasoline,18,26,423.1904762
gasoline,17,25,444.35
gasoline,17,27,444.35
gasoline,15,24,493.7222222
gasoline,15,24,493.7222222
gasoline,17,25,444.35
gasoline,19,24,423.1904762
gasoline,21,26,386.3913043
gasoline,12,15,683.6153846
gasoline,22,29,355.48
gasoline,18,24,444.35
gasoline,18,26,423.1904762
gasoline,17,25,444.35
gasoline,17,27,444.35
gasoline,15,24,493.7222222
gasoline,15,24,493.7222222
gasoline,9,13,807.9090909
gasoline,10,15,807.9090909
gasoline,9,13,807.9090909
gasoline,13,17,634.7857143
gasoline,18,26,423.1904762
gasoline,19,27,403.9545455
gasoline,16,22,467.7368421
gasoline,16,22,493.7222222
gasoline,18,26,423.1904762
gasoline,18,28,403.9545455
gasoline,15,22,493.7222222
